,level_0,index,Date,Newspaper,fb_sh
116,116,116,2020-01-29,The Guardian,10
125,125,125,2020-01-30,The Guardian,80
134,134,134,2020-01-31,The Guardian,85
143,143,143,2020-02-01,The Guardian,34
149,149,149,2020-02-02,The Guardian,12
158,158,158,2020-02-03,The Guardian,47
167,167,167,2020-02-04,The Guardian,11
176,176,176,2020-02-05,The Guardian,75
185,185,185,2020-02-06,The Guardian,194
194,194,194,2020-02-07,The Guardian,153
201,201,201,2020-02-08,The Guardian,58
207,207,207,2020-02-09,The Guardian,1272
215,215,215,2020-02-10,The Guardian,21
224,224,224,2020-02-11,The Guardian,605
234,234,234,2020-02-13,The Guardian,0
241,241,241,2020-02-14,The Guardian,0
252,252,252,2020-02-16,The Guardian,0
260,260,260,2020-02-17,The Guardian,1904
269,269,269,2020-02-18,The Guardian,6788
285,285,285,2020-02-20,The Guardian,1600
294,294,294,2020-02-21,The Guardian,1821
302,302,302,2020-02-22,The Guardian,4296
310,310,310,2020-02-23,The Guardian,12697
324,324,324,2020-02-25,The Guardian,17085
333,333,333,2020-02-26,The Guardian,3531
342,342,342,2020-02-27,The Guardian,10398
351,351,351,2020-02-28,The Guardian,37762
359,359,359,2020-02-29,The Guardian,24081
368,368,368,2020-03-01,The Guardian,18894
377,377,377,2020-03-02,The Guardian,2117
386,386,386,2020-03-03,The Guardian,3016
395,395,395,2020-03-04,The Guardian,8889
404,404,404,2020-03-05,The Guardian,48972
413,413,413,2020-03-06,The Guardian,28205
422,422,422,2020-03-07,The Guardian,28586
431,431,431,2020-03-08,The Guardian,14264
444,444,444,2020-03-10,The Guardian,9330
452,452,452,2020-03-11,The Guardian,5114
461,461,461,2020-03-12,The Guardian,76253
470,470,470,2020-03-13,The Guardian,51163
479,479,479,2020-03-14,The Guardian,254045
488,488,488,2020-03-15,The Guardian,131584
496,496,496,2020-03-16,The Guardian,67233
505,505,505,2020-03-17,The Guardian,16882
514,514,514,2020-03-18,The Guardian,196561
523,523,523,2020-03-19,The Guardian,24007
532,532,532,2020-03-20,The Guardian,30578
541,541,541,2020-03-21,The Guardian,25386
550,550,550,2020-03-22,The Guardian,52951
559,559,559,2020-03-23,The Guardian,71008
568,568,568,2020-03-24,The Guardian,57830
577,577,577,2020-03-25,The Guardian,124600
586,586,586,2020-03-26,The Guardian,82660
595,595,595,2020-03-27,The Guardian,273209
603,603,603,2020-03-28,The Guardian,168475
612,612,612,2020-03-29,The Guardian,81233
620,620,620,2020-03-30,The Guardian,103174
629,629,629,2020-03-31,The Guardian,127947
646,646,646,2020-04-02,The Guardian,51175
655,655,655,2020-04-03,The Guardian,7555
663,663,663,2020-04-04,The Guardian,38909
